DEBIT,09/02/2010,"U R* CHIPOTLE 0681 NEW Y        09/01U R* CHIP",-10.00
DEBIT,09/01/2010,"U R* JOY CURRY & TANDOO         08/30U R* JOY",-9.24
DEBIT,09/01/2010,"U R* ORIENTAL NOODLE SH         08/31U R* ORIE",-7.95
DEBIT,08/31/2010,"U R* CHICKEN BAR NEW YOR        08/29U R* CHIC",-8.71
DEBIT,08/30/2010,"U R* 9TH CORNER CLEANER         08/26U R* 9TH",-10.00
DEBIT,08/30/2010,"U R* CAFE ZAIYA NEW YORK        08/27U R* CAFE",-5.40
DEBIT,08/30/2010,"U R* MCDONALD'S F16658 N        08/27U R* MCDO",-7.26
DEBIT,08/30/2010,"U R* BEST BURGERS & SHA         08/28U R* BEST",-11.85
DEBIT,08/30/2010,"U R* CHIPOTLE 0681 NEW Y        08/29U R* CHIP",-10.00
DEBIT,08/27/2010,"U R* JOY CURRY & TANDOO         08/25U R* JOY",-8.16
DEBIT,08/27/2010,"U R* MCDONALD'S F16658 N        08/25U R* MCDO",-6.61
DEBIT,08/26/2010,"U R* CHICKEN BAR NEW YOR        08/24U R* CHIC",-8.21
DEBIT,08/25/2010,"U R* CHICKEN BAR NEW YOR        08/23U R* CHIC",-8.71
DEBIT,08/25/2010,"U R* BAJA FRESH NEW YORK        08/24U R* BAJA",-10.88
DEBIT,08/24/2010,"U R* ORIENTAL NOODLE SH         08/23U R* ORIE",-7.95
DSLIP,08/23/2010,"DEPOSIT  ID NUMBER  #####",50.00
DEBIT,08/23/2010,"U R* MCDONALD'S F16658 N        08/19U R* MCDO",-8.35
DEBIT,08/23/2010,"U R* CAFE ZAIYA NEW YORK        08/20U R* CAFE",-3.90
DEBIT,08/23/2010,"U R* AMC EMPIRE 25 0600         08/20U R* AMC",-13.00
DEBIT,08/23/2010,"U R* MCDONALD'S F26066 N        08/21U R* MCDO",-8.35
DEBIT,08/23/2010,"U R* PAPA JOHNS #296 516        08/22U R* PAPA",-17.40
DEBIT,08/20/2010,"U R* MCDONALD'S F7552 NE        08/18U R* MCDO",-8.70
DEBIT,08/20/2010,"U R* CHURCH'S CHICKEN NE        08/18U R* CHUR",-3.26
DEBIT,08/20/2010,"U R* SUBWAY        0038         08/18U R* SUBW",-5.44
CREDIT,08/20/2010,"INTEREST PAYMENT",0.02
DEBIT,08/19/2010,"Online Payment #### To TIME WARNER 08/19",-45.95
DEBIT,08/18/2010,"U R* CHIPOTLE 0681 NEW Y        08/17U R* CHIP",-10.00
DEBIT,08/17/2010,"U R* MCDONALD'S F16658 N        08/15U R* MCDO",-4.77
DEBIT,08/17/2010,"U R* BAJA FRESH NEW YORK        08/16U R* BAJA",-9.24
DEBIT,08/16/2010,"U R* CHINA MOON NEW YORK        08/12U R* CHIN",-10.50
DEBIT,08/16/2010,"U R* CHINA MOON NEW YORK        08/13U R* CHIN",-10.50
DEBIT,08/16/2010,"U R* CAFE ZAIYA NEW YORK        08/13U R* CAFE",-3.25
DEBIT,08/16/2010,"U R* NITEEN INTERNATION         08/13U R* NITE",-14.19
DEBIT,08/16/2010,"U R* CHIPOTLE 0681 NEW Y        08/15U R* CHIP",-8.50
DEBIT,08/13/2010,"U R* MCDONALD'S F16658 N        08/11U R* MCDO",-9.24
DEBIT,08/13/2010,"U R* MCDONALD'S F16658 N        08/11U R* MCDO",-7.26
DEBIT,08/12/2010,"U R* CHINA MOON NEW YORK        08/10U R* CHIN",-50.00
DEBIT,08/12/2010,"U R* DUANE READE #0542 N        08/11U R* DUAN",-28.99
DEBIT,08/11/2010,"U R* KODAMA RESTAURANT N        08/09U R* KODA",-15.00
DEBIT,08/10/2010,"U R* MUSEUM NAT HIST TI         08/06U R* MUSE",-16.00
DEBIT,08/10/2010,"U R* HALLO BERLIN NORTH         08/08U R* HALL",-18.00
DEBIT,08/10/2010,"U R* LA PALOMA BURRITOS         08/08U R* LA P",-8.98
DEBIT,08/10/2010,"U R* BROTHER JIMMY'S BB         08/09U R* BROT",-20.00
DEBIT,08/09/2010,"U R* KODAMA RESTAURANT N        08/05U R* KODA",-14.50
DEBIT,08/09/2010,"U R* AMNH-SATELITE 1121         08/06U R* AMNH",-3.05
DEBIT,08/09/2010,"MTA VENDING MACHINES 212908643  08/06MTA VENDI",-8.00
DEBIT,08/09/2010,"U R* MCDONALD'S F14106 N        08/06U R* MCDO",-8.81
DEBIT,08/09/2010,"U R* CHEF YU NEW YORK NY        08/07U R* CHEF",-15.50
DEBIT,08/09/2010,"U R* CITY MARKET CAFE NE        08/07U R* CITY",-9.47
DEBIT,08/09/2010,"U R* MMA ADMISSIONS NEW         08/07U R* MMA",-20.00
DEBIT,08/09/2010,"U R* KODAMA RESTAURANT N        08/07U R* KODA",-17.50
DEBIT,08/06/2010,"U R* MCDONALD'S F7552 NE        08/04U R* MCDO",-5.66
DEBIT,08/06/2010,"U R* ORIENTAL NOODLE SH         08/04U R* ORIE",-7.95
DEBIT,08/06/2010,"U R* CAFE ZAIYA NEW YORK        08/05U R* CAFE",-7.93
DEBIT,08/06/2010,"U R* CHIYODA NEW YORK NY        08/05U R* CHIY",-5.12
DEBIT,08/06/2010,"U R* ROYAL THAI CUISINE         08/05U R* ROYA",-24.00
DEBIT,08/05/2010,"U R* MCDONALD'S F7552 NE        08/03U R* MCDO",-2.94
DEBIT,08/05/2010,"U R* 9TH CORNER CLEANER         08/03U R* 9TH",-22.50
DEBIT,08/04/2010,"U R* RA@JP MORGAN CHASE         08/03U R* RA@J",-8.47
DEBIT,08/03/2010,"U R* ORIENTAL NOODLE SH         08/02U R* ORIE",-7.95
DEBIT,08/03/2010,"U R* CHIPOTLE 0681 NEW Y        08/02U R* CHIP",-10.00
DEBIT,08/02/2010,"U R* DUNKIN #343540    N        07/26U R* DUNK",-0.99
DEBIT,08/02/2010,"U R* MCDONALD'S F7552 NE        07/29U R* MCDO",-4.99
DEBIT,08/02/2010,"U R* BAJA FRESH NEW YORK        07/30U R* BAJA",-9.79
DEBIT,08/02/2010,"U R* CAFE ZAIYA NEW YORK        07/30U R* CAFE",-3.90
DEBIT,08/02/2010,"U R* CHIYODA NEW YORK NY        07/30U R* CHIY",-11.60
DEBIT,08/02/2010,"U R* PAPA JOHNS #296 516        08/01U R* PAPA",-17.82
DEBIT,08/02/2010,"WITHDRAWAL 08/02",-110.00
DEBIT,07/30/2010,"U R* CHICKEN BAR NEW YOR        07/28U R* CHIC",-7.08
DEBIT,07/30/2010,"U R* RA@JP MORGAN CHASE         07/29U R* RA@J",-4.75
DEBIT,07/29/2010,"U R* MCDONALD'S F7552 NE        07/27U R* MCDO",-8.15
DEBIT,07/29/2010,"U R* RA@JP MORGAN CHASE         07/28U R* RA@J",-6.39
DEBIT,07/28/2010,"U R* BAJA FRESH NEW YORK        07/21U R* BAJA",-10.33
DEBIT,07/26/2010,"U R* MCDONALD'S F7552 NE        07/22U R* MCDO",-5.66
DEBIT,07/26/2010,"U R* ORIENTAL NOODLE SH         07/23U R* ORIE",-7.95
DEBIT,07/26/2010,"U R* CAFE ZAIYA NEW YORK        07/23U R* CAFE",-3.90
DEBIT,07/26/2010,"U R* CHIYODA NEW YORK NY        07/23U R* CHIY",-9.11
DEBIT,07/26/2010,"U R* NITEEN INTERNATION         07/24U R* NITE",-14.19
